   ------------------------------------------------------------------
  | Welcome to ROOT 6.22/08                        https://root.cern |
  | (c) 1995-2020, The ROOT Team; conception: R. Brun, F. Rademakers |
  | Built for linuxx8664gcc on Mar 10 2021, 14:20:04                 |
  | From tags/v6-22-08@v6-22-08                                      |
totedep 3.86939 nhit= 18
# of display =951
# of event =27488
totedep 4.04392 nhit= 21
# of display =952
# of event =27499
totedep 5.34596 nhit= 32
# of display =953
# of event =27528
totedep 5.13323 nhit= 21
# of display =954
# of event =27535
totedep 3.26342 nhit= 11
# of display =955
# of event =27601
totedep 2.53411 nhit= 16
# of display =956
# of event =27606
totedep 1.73232 nhit= 11
# of display =957
# of event =27678
totedep 6.32239 nhit= 34
# of display =958
# of event =27713
totedep 6.48728 nhit= 27
# of display =959
# of event =27777
totedep 3.45448 nhit= 12
# of display =960
# of event =27799
totedep 2.85227 nhit= 12
# of display =961
# of event =27830
totedep 2.40045 nhit= 15
# of display =962
# of event =27860
totedep 1.53865 nhit= 10
# of display =963
# of event =27895
totedep 6.64741 nhit= 22
# of display =964
# of event =27961
totedep 9.81831 nhit= 33
# of display =965
# of event =27984
totedep 2.87432 nhit= 16
# of display =966
# of event =28046
totedep 17.9597 nhit= 79
# of display =967
# of event =28113
totedep 1.95628 nhit= 13
# of display =968
# of event =28117
totedep 3.73551 nhit= 23
# of display =969
# of event =28124
totedep 2.07053 nhit= 11
# of display =970
# of event =28130
totedep 2.40575 nhit= 14
# of display =971
# of event =28195
totedep 12.9894 nhit= 55
# of display =972
# of event =28211
totedep 3.89616 nhit= 18
# of display =973
# of event =28212
totedep 3.72446 nhit= 12
# of display =974
# of event =28248
totedep 6.82957 nhit= 30
# of display =975
# of event =28253
totedep 15.8362 nhit= 59
# of display =976
# of event =28283
totedep 2.71891 nhit= 10
# of display =977
# of event =28295
totedep 2.96558 nhit= 13
# of display =978
# of event =28358
totedep 4.54249 nhit= 17
# of display =979
# of event =28381
totedep 16.5927 nhit= 58
# of display =980
# of event =28382
totedep 6.22438 nhit= 28
# of display =981
# of event =28385
totedep 4.08918 nhit= 17
# of display =982
# of event =28450
totedep 2.19732 nhit= 12
# of display =983
# of event =28464
totedep 13.3407 nhit= 65
# of display =984
# of event =28489
totedep 1.91176 nhit= 10
# of display =985
# of event =28499
totedep 5.34676 nhit= 21
# of display =986
# of event =28505
totedep 5.6113 nhit= 19
# of display =987
# of event =28526
totedep 5.26461 nhit= 28
# of display =988
# of event =28533
totedep 3.70636 nhit= 21
# of display =989
# of event =28537
totedep 3.27099 nhit= 13
# of display =990
# of event =28571
totedep 3.2405 nhit= 14
# of display =991
# of event =28582
totedep 2.1028 nhit= 14
# of display =992
# of event =28691
totedep 8.06227 nhit= 48
# of display =993
# of event =28694
totedep 1.34796 nhit= 10
# of display =994
# of event =28697
totedep 5.811 nhit= 33
# of display =995
# of event =28734
totedep 1.0475 nhit= 10
# of display =996
# of event =28747
totedep 1.83282 nhit= 12
# of display =997
# of event =28764
totedep 2.60072 nhit= 15
# of display =998
# of event =28781
totedep 18.4073 nhit= 73
# of display =999
# of event =28786
totedep 10.5091 nhit= 34
# of display =1000
# of event =28829
totedep 8.25909 nhit= 24
# of display =1001
# of event =28846
totedep 11.6102 nhit= 45
# of display =1002
# of event =28889
totedep 5.32013 nhit= 31
# of display =1003
# of event =28898
totedep 9.36952 nhit= 29
# of display =1004
# of event =28953
totedep 2.05534 nhit= 11
# of display =1005
# of event =28968
totedep 1.35845 nhit= 11
# of display =1006
# of event =28984
totedep 1.74066 nhit= 10
# of display =1007
# of event =29012
totedep 3.90149 nhit= 13
# of display =1008
# of event =29031
totedep 2.21175 nhit= 11
# of display =1009
# of event =29037
totedep 5.93637 nhit= 37
# of display =1010
# of event =29053
totedep 7.91078 nhit= 29
# of display =1011
# of event =29066
totedep 3.9592 nhit= 13
# of display =1012
# of event =29112
totedep 2.21974 nhit= 10
# of display =1013
# of event =29155
totedep 2.91669 nhit= 18
# of display =1014
# of event =29172
totedep 3.85728 nhit= 19
# of display =1015
# of event =29174
totedep 13.2602 nhit= 36
# of display =1016
# of event =29261
totedep 9.83861 nhit= 36
# of display =1017
# of event =29272
totedep 9.26319 nhit= 34
# of display =1018
# of event =29283
totedep 9.6646 nhit= 33
# of display =1019
# of event =29295
totedep 2.75836 nhit= 12
# of display =1020
# of event =29335
totedep 5.0412 nhit= 17
# of display =1021
# of event =29367
totedep 2.65361 nhit= 11
# of display =1022
# of event =29380
totedep 6.43924 nhit= 39
# of display =1023
# of event =29405
totedep 4.02256 nhit= 14
# of display =1024
# of event =29432
totedep 2.67875 nhit= 14
# of display =1025
# of event =29511
totedep 11.2107 nhit= 37
# of display =1026
# of event =29513
totedep 5.7117 nhit= 18
# of display =1027
# of event =29539
totedep 1.37261 nhit= 10
# of display =1028
# of event =29545
totedep 2.77648 nhit= 17
# of display =1029
# of event =29562
totedep 20.4076 nhit= 76
# of display =1030
# of event =29640
totedep 9.18964 nhit= 34
# of display =1031
# of event =29725
totedep 2.97092 nhit= 13
# of display =1032
# of event =29760
totedep 2.68832 nhit= 15
# of display =1033
# of event =29806
totedep 2.55435 nhit= 12
# of display =1034
# of event =29886
totedep 9.4322 nhit= 38
# of display =1035
# of event =29947
totedep 12.11 nhit= 53
# of display =1036
# of event =30035
totedep 12.1713 nhit= 55
# of display =1037
# of event =30103
totedep 2.42929 nhit= 10
# of display =1038
# of event =30119
totedep 2.90747 nhit= 12
# of display =1039
# of event =30132
totedep 3.29813 nhit= 11
# of display =1040
# of event =30213
totedep 3.41831 nhit= 13
# of display =1041
# of event =30233
totedep 1.70148 nhit= 11
# of display =1042
# of event =30243
totedep 3.53787 nhit= 11
# of display =1043
# of event =30258
totedep 16.8569 nhit= 48
# of display =1044
# of event =30264
totedep 4.90301 nhit= 17
# of display =1045
# of event =30315
totedep 2.39214 nhit= 10
# of display =1046
# of event =30317
totedep 2.52453 nhit= 13
# of display =1047
# of event =30318
totedep 2.75476 nhit= 10
# of display =1048
# of event =30326
totedep 3.52424 nhit= 12
# of display =1049
# of event =30388
totedep 2.59829 nhit= 10
# of display =1050
# of event =30397
totedep 7.56279 nhit= 28
# of display =1051
# of event =30425
totedep 2.30188 nhit= 11
# of display =1052
# of event =30432
totedep 2.23765 nhit= 10
# of display =1053
# of event =30495
totedep 6.3664 nhit= 15
# of display =1054
# of event =30531
totedep 6.34637 nhit= 26
# of display =1055
# of event =30600
totedep 2.55438 nhit= 14
# of display =1056
# of event =30638
totedep 1.29083 nhit= 11
# of display =1057
# of event =30688
totedep 4.74951 nhit= 25
# of display =1058
# of event =30712
totedep 2.15662 nhit= 12
# of display =1059
# of event =30729
totedep 2.95996 nhit= 18
# of display =1060
# of event =30804
totedep 1.65505 nhit= 10
# of display =1061
# of event =30812
totedep 3.4104 nhit= 21
# of display =1062
# of event =30820
totedep 10.2117 nhit= 48
# of display =1063
# of event =30861
totedep 2.29445 nhit= 10
# of display =1064
# of event =30923
totedep 2.04923 nhit= 11
# of display =1065
# of event =30935
totedep 2.33994 nhit= 11
# of display =1066
# of event =30937
totedep 5.35563 nhit= 31
# of display =1067
# of event =30968
totedep 5.77043 nhit= 37
# of display =1068
# of event =30973
totedep 2.06527 nhit= 12
# of display =1069
# of event =30995
totedep 3.54965 nhit= 17
# of display =1070
# of event =31024
totedep 9.06225 nhit= 30
# of display =1071
# of event =31057
totedep 4.26756 nhit= 12
# of display =1072
# of event =31104
totedep 2.22501 nhit= 10
# of display =1073
# of event =31138
totedep 1.23687 nhit= 10
# of display =1074
# of event =31150
totedep 7.34621 nhit= 21
# of display =1075
# of event =31207
totedep 5.32021 nhit= 28
# of display =1076
# of event =31285
totedep 2.95599 nhit= 10
# of display =1077
# of event =31297
totedep 6.22425 nhit= 18
# of display =1078
# of event =31366
totedep 3.39412 nhit= 13
# of display =1079
# of event =31371
totedep 2.19627 nhit= 15
# of display =1080
# of event =31400
totedep 7.52104 nhit= 45
# of display =1081
# of event =31424
totedep 3.47659 nhit= 20
# of display =1082
# of event =31429
totedep 3.00296 nhit= 14
# of display =1083
# of event =31430
totedep 2.33663 nhit= 12
# of display =1084
# of event =31476
totedep 2.15887 nhit= 10
# of display =1085
# of event =31515
totedep 11.0567 nhit= 32
# of display =1086
# of event =31534
totedep 6.79359 nhit= 31
# of display =1087
# of event =31536
totedep 14.9082 nhit= 42
# of display =1088
# of event =31542
totedep 12.6687 nhit= 52
# of display =1089
# of event =31546
totedep 1.86618 nhit= 10
# of display =1090
# of event =31593
totedep 4.16197 nhit= 16
# of display =1091
# of event =31627
totedep 7.48844 nhit= 50
# of display =1092
# of event =31633
totedep 3.01324 nhit= 16
# of display =1093
# of event =31677
totedep 2.64204 nhit= 11
# of display =1094
# of event =31681
totedep 2.47546 nhit= 10
# of display =1095
# of event =31687
totedep 4.12968 nhit= 16
# of display =1096
# of event =31719
totedep 3.68199 nhit= 10
# of display =1097
# of event =31754
totedep 3.0182 nhit= 13
# of display =1098
# of event =31822
totedep 5.14227 nhit= 22
# of display =1099
# of event =31856
totedep 3.15906 nhit= 14
# of display =1100
# of event =31932
totedep 5.86112 nhit= 22
# of display =1101
# of event =31943
totedep 2.72527 nhit= 13
# of display =1102
# of event =31954
totedep 4.59106 nhit= 20
# of display =1103
# of event =31959
totedep 4.48065 nhit= 19
# of display =1104
# of event =31976
totedep 3.8589 nhit= 19
# of display =1105
# of event =31979
totedep 6.443 nhit= 24
# of display =1106
# of event =32009
totedep 5.78271 nhit= 17
# of display =1107
# of event =32060
totedep 5.96743 nhit= 25
# of display =1108
# of event =32087
totedep 5.67851 nhit= 18
# of display =1109
# of event =32096
totedep 3.5822 nhit= 21
# of display =1110
# of event =32149
totedep 9.56339 nhit= 35
# of display =1111
# of event =32227
totedep 2.83847 nhit= 19
# of display =1112
# of event =32259
totedep 5.78737 nhit= 32
# of display =1113
# of event =32295
totedep 13.1131 nhit= 51
# of display =1114
# of event =32300
totedep 2.52675 nhit= 12
# of display =1115
# of event =32350
totedep 4.32838 nhit= 11
# of display =1116
# of event =32365
totedep 2.19297 nhit= 10
# of display =1117
# of event =32368
totedep 2.87827 nhit= 13
# of display =1118
# of event =32370
totedep 1.44368 nhit= 11
# of display =1119
# of event =32435
totedep 6.84181 nhit= 22
# of display =1120
# of event =32448
totedep 2.93933 nhit= 19
# of display =1121
# of event =32473
totedep 4.07118 nhit= 14
# of display =1122
# of event =32514
totedep 1.21614 nhit= 10
# of display =1123
# of event =32528
totedep 11.6394 nhit= 36
# of display =1124
# of event =32542
totedep 1.7311 nhit= 15
# of display =1125
# of event =32571
totedep 1.55836 nhit= 10
# of display =1126
# of event =32639
totedep 2.48904 nhit= 14
# of display =1127
# of event =32696
totedep 6.3937 nhit= 18
# of display =1128
# of event =32697
totedep 5.24991 nhit= 20
# of display =1129
# of event =32705
totedep 3.17032 nhit= 18
# of display =1130
# of event =32724
totedep 2.76893 nhit= 17
# of display =1131
# of event =32736
totedep 3.62941 nhit= 23
# of display =1132
# of event =32738
totedep 9.58163 nhit= 36
# of display =1133
# of event =32748
totedep 2.07194 nhit= 14
# of display =1134
# of event =32776
totedep 6.98143 nhit= 32
# of display =1135
# of event =32804
totedep 3.09956 nhit= 17
# of display =1136
# of event =32810
totedep 5.64705 nhit= 33
# of display =1137
# of event =32858
totedep 2.90674 nhit= 20
# of display =1138
# of event =32890
totedep 4.34642 nhit= 26
# of display =1139
# of event =32907
totedep 2.8651 nhit= 19
# of display =1140
# of event =32924
totedep 12.8455 nhit= 48
# of display =1141
# of event =32969
totedep 5.3882 nhit= 17
# of display =1142
# of event =32976
totedep 4.99511 nhit= 17
# of display =1143
# of event =32995
totedep 7.71919 nhit= 33
# of display =1144
# of event =33051
totedep 5.57184 nhit= 26
# of display =1145
# of event =33055
totedep 3.88989 nhit= 19
# of display =1146
# of event =33072
totedep 9.18114 nhit= 31
# of display =1147
# of event =33083
totedep 3.5687 nhit= 17
# of display =1148
# of event =33094
totedep 2.00436 nhit= 11
# of display =1149
# of event =33148
totedep 2.46502 nhit= 11
# of display =1150
# of event =33168
totedep 6.92287 nhit= 37
# of display =1151
# of event =33171
totedep 2.67039 nhit= 10
# of display =1152
# of event =33196
totedep 9.28908 nhit= 27
# of display =1153
# of event =33230
totedep 3.04034 nhit= 15
# of display =1154
# of event =33235
totedep 14.3887 nhit= 60
# of display =1155
# of event =33237
totedep 9.60878 nhit= 29
# of display =1156
# of event =33247
totedep 38.7378 nhit= 24
# of display =1157
# of event =33265
totedep 1.74075 nhit= 10
# of display =1158
# of event =33275
totedep 7.40893 nhit= 25
# of display =1159
# of event =33299
totedep 4.14511 nhit= 16
# of display =1160
# of event =33316
totedep 4.55442 nhit= 19
# of display =1161
# of event =33324
totedep 4.04057 nhit= 17
# of display =1162
# of event =33390
totedep 11.7192 nhit= 51
# of display =1163
# of event =33395
totedep 3.47594 nhit= 10
# of display =1164
# of event =33422
totedep 3.57614 nhit= 16
# of display =1165
# of event =33450
totedep 16.8048 nhit= 67
# of display =1166
# of event =33500
totedep 5.59756 nhit= 19
# of display =1167
# of event =33527
totedep 1.43657 nhit= 12
# of display =1168
# of event =33540
totedep 7.88654 nhit= 34
# of display =1169
# of event =33548
totedep 1.82632 nhit= 11
# of display =1170
# of event =33576
totedep 3.99637 nhit= 21
# of display =1171
# of event =33592
totedep 9.48374 nhit= 38
# of display =1172
# of event =33606
totedep 3.34504 nhit= 10
# of display =1173
# of event =33697
totedep 13.7528 nhit= 44
# of display =1174
# of event =33737
totedep 8.95905 nhit= 29
# of display =1175
# of event =33753
totedep 3.10063 nhit= 14
# of display =1176
# of event =33757
totedep 3.66713 nhit= 19
# of display =1177
# of event =33797
totedep 1.91343 nhit= 10
# of display =1178
# of event =33810
totedep 1.92747 nhit= 13
# of display =1179
# of event =33869
totedep 17.0963 nhit= 42
# of display =1180
# of event =33879
totedep 5.68298 nhit= 20
# of display =1181
# of event =33909
totedep 3.73697 nhit= 16
# of display =1182
# of event =33910
totedep 20.472 nhit= 65
# of display =1183
# of event =33920
totedep 3.01839 nhit= 14
# of display =1184
# of event =33945
totedep 2.68373 nhit= 12
# of display =1185
# of event =33962
totedep 5.74576 nhit= 23
# of display =1186
# of event =33965
totedep 9.69333 nhit= 45
# of display =1187
# of event =33982
totedep 14.6172 nhit= 41
# of display =1188
# of event =34013
totedep 1.74153 nhit= 11
# of display =1189
# of event =34027
totedep 3.88172 nhit= 18
# of display =1190
# of event =34036
totedep 18.1057 nhit= 52
# of display =1191
# of event =34056
totedep 4.73322 nhit= 26
# of display =1192
# of event =34072
totedep 2.85774 nhit= 18
# of display =1193
# of event =34123
totedep 2.94547 nhit= 18
# of display =1194
# of event =34165
totedep 3.48554 nhit= 21
# of display =1195
# of event =34167
totedep 4.35412 nhit= 17
# of display =1196
# of event =34216
totedep 3.41398 nhit= 14
# of display =1197
# of event =34243
totedep 5.50176 nhit= 17
# of display =1198
# of event =34257
totedep 2.15434 nhit= 13
# of display =1199
# of event =34278
totedep 17.4818 nhit= 64
# of display =1200
# of event =34310
totedep 2.86616 nhit= 15
# of display =1201
# of event =34365
totedep 4.08503 nhit= 12
# of display =1202
# of event =34391
totedep 3.61107 nhit= 12
# of display =1203
# of event =34478
totedep 3.7317 nhit= 15
# of display =1204
# of event =34523
totedep 10.3572 nhit= 37
# of display =1205
# of event =34607
totedep 3.55286 nhit= 10
# of display =1206
# of event =34632
totedep 1.32138 nhit= 10
# of display =1207
# of event =34693
totedep 4.20723 nhit= 16
# of display =1208
# of event =34715
totedep 13.8757 nhit= 49
# of display =1209
# of event =34718
totedep 7.62086 nhit= 34
# of display =1210
# of event =34723
totedep 8.35593 nhit= 34
# of display =1211
# of event =34758
totedep 6.08351 nhit= 28
# of display =1212
# of event =34777
totedep 3.60557 nhit= 21
# of display =1213
# of event =34813
totedep 8.70898 nhit= 41
# of display =1214
# of event =34852
totedep 5.58439 nhit= 21
# of display =1215
# of event =34855
totedep 9.9736 nhit= 29
# of display =1216
# of event =34871
totedep 4.45304 nhit= 22
# of display =1217
# of event =34885
totedep 3.77579 nhit= 19
# of display =1218
# of event =34892
totedep 4.2783 nhit= 16
# of display =1219
# of event =34919
totedep 6.89883 nhit= 28
# of display =1220
# of event =34939
totedep 2.44726 nhit= 16
# of display =1221
# of event =34983
totedep 3.93574 nhit= 21
# of display =1222
# of event =34987
totedep 10.4545 nhit= 53
# of display =1223
# of event =35002
totedep 2.67772 nhit= 21
# of display =1224
# of event =35053
totedep 2.6627 nhit= 13
# of display =1225
# of event =35074
totedep 7.54195 nhit= 32
# of display =1226
# of event =35075
totedep 4.89812 nhit= 26
# of display =1227
# of event =35090
totedep 4.24953 nhit= 18
# of display =1228
# of event =35131
totedep 4.04037 nhit= 27
# of display =1229
# of event =35137
totedep 4.0897 nhit= 23
# of display =1230
# of event =35201
totedep 2.06908 nhit= 11
# of display =1231
# of event =35240
totedep 11.186 nhit= 48
# of display =1232
# of event =35260
totedep 4.06699 nhit= 15
# of display =1233
# of event =35328
totedep 1.36603 nhit= 11
# of display =1234
# of event =35446
totedep 2.59614 nhit= 13
# of display =1235
# of event =35472
totedep 6.99149 nhit= 21
# of display =1236
# of event =35577
totedep 4.5969 nhit= 21
# of display =1237
# of event =35604
totedep 6.21805 nhit= 29
# of display =1238
# of event =35611
totedep 6.0983 nhit= 20
# of display =1239
# of event =35697
totedep 2.78491 nhit= 14
# of display =1240
# of event =35748
totedep 12.3191 nhit= 41
# of display =1241
# of event =35825
totedep 8.19262 nhit= 29
# of display =1242
# of event =35836
totedep 2.79392 nhit= 16
# of display =1243
# of event =35837
totedep 8.33262 nhit= 26
# of display =1244
# of event =35860
totedep 2.97723 nhit= 12
# of display =1245
# of event =35887
totedep 3.05139 nhit= 12
# of display =1246
# of event =35927
totedep 3.6711 nhit= 15
# of display =1247
# of event =35952
totedep 16.0359 nhit= 49
# of display =1248
# of event =36123
totedep 1.92163 nhit= 10
# of display =1249
# of event =36161
totedep 2.09658 nhit= 10
# of display =1250
# of event =36232
totedep 5.22546 nhit= 32
# of display =1251
# of event =36292
totedep 4.45999 nhit= 14
# of display =1252
# of event =36294
totedep 5.79748 nhit= 21
# of display =1253
# of event =36325
totedep 3.71099 nhit= 12
# of display =1254
# of event =36358
totedep 10.6737 nhit= 46
# of display =1255
# of event =36377
totedep 2.63891 nhit= 12
# of display =1256
# of event =36396
totedep 1.78111 nhit= 10
# of display =1257
# of event =36403
totedep 7.50123 nhit= 36
# of display =1258
# of event =36456
totedep 6.62273 nhit= 26
# of display =1259
# of event =36461
totedep 8.31313 nhit= 34
# of display =1260
# of event =36470
totedep 3.5414 nhit= 11
# of display =1261
# of event =36501
totedep 3.91742 nhit= 12
# of display =1262
# of event =36510
totedep 6.6848 nhit= 30
# of display =1263
# of event =36533
totedep 8.22233 nhit= 42
# of display =1264
# of event =36539
totedep 1.92673 nhit= 10
# of display =1265
# of event =36548
totedep 7.11065 nhit= 38
# of display =1266
# of event =36642
totedep 2.36123 nhit= 17
# of display =1267
# of event =36673
totedep 3.48581 nhit= 18
# of display =1268
# of event =36685
totedep 2.24547 nhit= 12
# of display =1269
# of event =36691
totedep 2.87745 nhit= 16
# of display =1270
# of event =36692
totedep 3.70604 nhit= 12
# of display =1271
# of event =36758
totedep 3.2371 nhit= 15
# of display =1272
# of event =36779
totedep 3.47447 nhit= 18
# of display =1273
# of event =36783
totedep 3.26343 nhit= 14
# of display =1274
# of event =36806
totedep 4.39841 nhit= 23
# of display =1275
# of event =36824
totedep 2.35209 nhit= 12
# of display =1276
# of event =36852
totedep 6.42022 nhit= 24
# of display =1277
# of event =36876
totedep 3.06043 nhit= 11
# of display =1278
# of event =36912
totedep 3.7057 nhit= 16
# of display =1279
# of event =36961
totedep 3.5189 nhit= 23
# of display =1280
# of event =36976
totedep 3.17214 nhit= 12
# of display =1281
# of event =37017
totedep 5.04693 nhit= 25
# of display =1282
# of event =37059
totedep 6.0698 nhit= 27
# of display =1283
# of event =37148
totedep 4.0564 nhit= 16
# of display =1284
# of event =37165
totedep 7.39936 nhit= 44
# of display =1285
# of event =37178
totedep 2.81182 nhit= 14
# of display =1286
# of event =37194
totedep 6.76824 nhit= 37
# of display =1287
# of event =37207
totedep 5.61799 nhit= 33
# of display =1288
# of event =37249
totedep 8.93754 nhit= 54
# of display =1289
# of event =37269
totedep 2.17626 nhit= 12
# of display =1290
# of event =37277
totedep 4.08539 nhit= 17
# of display =1291
# of event =37320
totedep 2.06735 nhit= 12
# of display =1292
# of event =37348
totedep 4.71329 nhit= 19
# of display =1293
# of event =37375
totedep 2.6242 nhit= 11
# of display =1294
# of event =37382
totedep 5.88436 nhit= 23
# of display =1295
# of event =37420
totedep 9.10512 nhit= 38
# of display =1296
# of event =37460
totedep 2.51388 nhit= 11
# of display =1297
# of event =37481
totedep 2.85203 nhit= 14
# of display =1298
# of event =37483
totedep 2.68461 nhit= 17
# of display =1299
# of event =37514
totedep 10.1396 nhit= 42
# of display =1300
# of event =37899
totedep 3.87698 nhit= 15
# of display =1301
# of event =37917
totedep 2.36617 nhit= 14
# of display =1302
# of event =37970
totedep 2.42113 nhit= 10
# of display =1303
# of event =38010
totedep 18.5415 nhit= 56
# of display =1304
# of event =38102
totedep 5.69717 nhit= 30
# of display =1305
# of event =38148
totedep 2.19883 nhit= 10
# of display =1306
# of event =38154
totedep 4.31449 nhit= 23
# of display =1307
# of event =38159
totedep 1.89925 nhit= 15
# of display =1308
# of event =38164
totedep 2.69937 nhit= 12
# of display =1309
# of event =38199
totedep 2.63424 nhit= 11
# of display =1310
# of event =38224
totedep 4.1355 nhit= 27
# of display =1311
# of event =38318
totedep 1.61935 nhit= 10
# of display =1312
# of event =38320
totedep 14.1566 nhit= 64
# of display =1313
# of event =38367
totedep 7.4922 nhit= 29
# of display =1314
# of event =38379
totedep 3.61245 nhit= 11
# of display =1315
# of event =38386
totedep 5.51951 nhit= 21
# of display =1316
# of event =38394
totedep 2.60859 nhit= 12
# of display =1317
# of event =38396
totedep 11.1292 nhit= 44
# of display =1318
# of event =38464
totedep 5.56489 nhit= 25
# of display =1319
# of event =38487
totedep 3.84581 nhit= 25
# of display =1320
# of event =38523
totedep 13.0799 nhit= 51
# of display =1321
# of event =38539
totedep 4.83526 nhit= 30
# of display =1322
# of event =38593
totedep 4.07487 nhit= 15
# of display =1323
# of event =38609
totedep 8.35313 nhit= 39
# of display =1324
# of event =38658
totedep 5.54019 nhit= 20
# of display =1325
# of event =38662
totedep 4.32092 nhit= 13
# of display =1326
# of event =38688
totedep 3.72413 nhit= 19
# of display =1327
# of event =38709
totedep 3.60923 nhit= 12
# of display =1328
# of event =38710
totedep 2.11773 nhit= 13
# of display =1329
# of event =38737
totedep 11.0501 nhit= 37
# of display =1330
# of event =38738
totedep 3.27644 nhit= 12
# of display =1331
# of event =38781
totedep 8.4313 nhit= 25
# of display =1332
# of event =38784
totedep 6.37137 nhit= 20
# of display =1333
# of event =38815
totedep 13.8749 nhit= 55
# of display =1334
# of event =38822
totedep 10.9315 nhit= 36
# of display =1335
# of event =38827
totedep 2.73572 nhit= 15
# of display =1336
# of event =38863
totedep 10.1083 nhit= 41
# of display =1337
# of event =38864
totedep 2.94873 nhit= 14
# of display =1338
# of event =38945
totedep 2.6358 nhit= 11
# of display =1339
# of event =38975
totedep 2.06757 nhit= 11
# of display =1340
# of event =39046
totedep 7.34549 nhit= 32
# of display =1341
# of event =39064
totedep 2.28744 nhit= 13
# of display =1342
# of event =39110
totedep 14.6323 nhit= 69
# of display =1343
# of event =39221
totedep 15.1025 nhit= 74
# of display =1344
# of event =39228
totedep 1.50851 nhit= 12
# of display =1345
# of event =39290
totedep 3.12452 nhit= 17
# of display =1346
# of event =39329
totedep 2.80516 nhit= 14
# of display =1347
# of event =39339
totedep 4.6226 nhit= 23
# of display =1348
# of event =39352
totedep 9.11145 nhit= 43
# of display =1349
# of event =39368
totedep 3.39403 nhit= 18
# of display =1350
# of event =39408
totedep 7.08527 nhit= 27
# of display =1351
# of event =39413
totedep 3.32489 nhit= 14
# of display =1352
# of event =39414
totedep 2.74829 nhit= 16
# of display =1353
# of event =39432
totedep 3.47835 nhit= 14
# of display =1354
# of event =39458
totedep 3.26644 nhit= 18
# of display =1355
# of event =39482
totedep 9.82658 nhit= 39
# of display =1356
# of event =39578
totedep 1.89709 nhit= 13
# of display =1357
# of event =39595
totedep 4.00265 nhit= 23
# of display =1358
# of event =39604
totedep 3.98315 nhit= 17
# of display =1359
# of event =39610
totedep 4.91276 nhit= 24
# of display =1360
# of event =39633
totedep 4.9558 nhit= 13
# of display =1361
# of event =39677
totedep 15.7928 nhit= 52
# of display =1362
# of event =39696
totedep 3.41669 nhit= 16
# of display =1363
# of event =39715
totedep 6.15613 nhit= 37
# of display =1364
# of event =39724
totedep 5.50666 nhit= 22
# of display =1365
# of event =39728
totedep 2.1683 nhit= 11
# of display =1366
# of event =39743
totedep 1.14879 nhit= 10
# of display =1367
# of event =39762
totedep 4.2613 nhit= 23
# of display =1368
# of event =39768
totedep 2.36616 nhit= 11
# of display =1369
# of event =39875
totedep 2.63445 nhit= 12
# of display =1370
# of event =39972
totedep 9.37999 nhit= 50
# of display =1371
# of event =40004
totedep 3.53017 nhit= 19
# of display =1372
# of event =40036
totedep 5.13288 nhit= 28
# of display =1373
# of event =40099
totedep 3.12051 nhit= 21
# of display =1374
# of event =40116
totedep 2.47986 nhit= 16
# of display =1375
# of event =40142
totedep 5.89732 nhit= 20
# of display =1376
# of event =40145
totedep 4.26047 nhit= 18
# of display =1377
# of event =40174
totedep 5.49486 nhit= 17
# of display =1378
# of event =40176
totedep 3.96025 nhit= 16
# of display =1379
# of event =40177
totedep 2.52565 nhit= 16
# of display =1380
# of event =40181
totedep 6.29118 nhit= 22
# of display =1381
# of event =40190
totedep 2.71476 nhit= 11
# of display =1382
# of event =40219
totedep 9.19378 nhit= 35
# of display =1383
# of event =40256
totedep 12.4705 nhit= 17
# of display =1384
# of event =40310
totedep 6.39115 nhit= 29
# of display =1385
# of event =40333
totedep 13.9252 nhit= 49
# of display =1386
# of event =40336
totedep 4.1212 nhit= 25
# of display =1387
# of event =40369
totedep 2.66612 nhit= 17
# of display =1388
# of event =40387
totedep 3.70863 nhit= 17
# of display =1389
# of event =40414
totedep 8.66845 nhit= 29
# of display =1390
# of event =40423
totedep 2.73536 nhit= 11
# of display =1391
# of event =40481
totedep 8.80822 nhit= 46
# of display =1392
# of event =40550
totedep 1.48345 nhit= 10
# of display =1393
# of event =40608
totedep 3.83986 nhit= 12
# of display =1394
# of event =40609
totedep 2.35192 nhit= 10
# of display =1395
# of event =40641
totedep 1.82555 nhit= 11
# of display =1396
# of event =40667
totedep 5.36778 nhit= 29
# of display =1397
# of event =40723
totedep 6.66832 nhit= 28
# of display =1398
# of event =40761
totedep 12.6765 nhit= 51
# of display =1399
# of event =40775
totedep 4.03462 nhit= 19
# of display =1400
# of event =40808
totedep 5.52973 nhit= 25
# of display =1401
# of event =40815
totedep 16.4699 nhit= 63
# of display =1402
# of event =40825
totedep 1.26963 nhit= 11
# of display =1403
# of event =40835
totedep 1.64059 nhit= 13
# of display =1404
# of event =40856
totedep 2.34956 nhit= 12
# of display =1405
# of event =40887
totedep 4.0952 nhit= 28
# of display =1406
# of event =40892
totedep 5.85215 nhit= 17
# of display =1407
# of event =40988
totedep 3.18541 nhit= 15
# of display =1408
# of event =41015
totedep 5.57198 nhit= 21
# of display =1409
# of event =41019
totedep 5.75494 nhit= 29
# of display =1410
# of event =41022
totedep 2.00021 nhit= 11
# of display =1411
# of event =41024
totedep 1.82831 nhit= 12
# of display =1412
# of event =41030
totedep 2.6332 nhit= 13
# of display =1413
# of event =41063
totedep 19.6101 nhit= 69
# of display =1414
